CONSTTK const
INTTK int
IDENFR max
ASSIGN =
INTCON 1073741824
SEMICN ;
INTTK int
IDENFR a
LBRACK [
INTCON 1000
RBRACK ]
SEMICN ;
INTTK int
IDENFR b
LBRACK [
INTCON 1000
RBRACK ]
SEMICN ;
INTTK int
IDENFR kernelid
LBRACK [
INTCON 40
RBRACK ]
SEMICN ;
INTTK int
IDENFR myscanf
LPARENT (
RPARENT )
LBRACE {
INTTK int
IDENFR n
SEMICN ;
SCANFTK scanf
LPARENT (
IDENFR n
RPARENT )
SEMICN ;
RETURNTK return
LPARENT (
IDENFR n
RPARENT )
SEMICN ;
RBRACE }
VOIDTK void
IDENFR myprintf
LPARENT (
INTTK int
IDENFR n
RPARENT )
LBRACE {
PRINTFTK printf
LPARENT (
IDENFR n
RPARENT )
SEMICN ;
RETURNTK return
SEMICN ;
RBRACE }
INTTK int
IDENFR checkrange
LPARENT (
INTTK int
IDENFR num
RPARENT )
LBRACE {
WHILETK while
LPARENT (
IDENFR num
GRE >
IDENFR max
RPARENT )
IDENFR num
ASSIGN =
IDENFR num
MINU -
IDENFR max
SEMICN ;
WHILETK while
LPARENT (
IDENFR num
LSS <
INTCON 0
RPARENT )
IDENFR num
ASSIGN =
IDENFR num
PLUS +
IDENFR max
SEMICN ;
RETURNTK return
LPARENT (
IDENFR num
RPARENT )
SEMICN ;
RBRACE }
INTTK int
IDENFR reduce
LPARENT (
INTTK int
IDENFR kernelid
COMMA ,
INTTK int
IDENFR x
COMMA ,
INTTK int
IDENFR y
RPARENT )
LBRACE {
INTTK int
IDENFR ret
COMMA ,
IDENFR i
SEMICN ;
IFTK if
LPARENT (
IDENFR kernelid
EQL ==
INTCON 0
RPARENT )
RETURNTK return
LPARENT (
IDENFR checkrange
LPARENT (
IDENFR x
PLUS +
IDENFR y
RPARENT )
RPARENT )
SEMICN ;
IFTK if
LPARENT (
IDENFR kernelid
EQL ==
INTCON 1
RPARENT )
LBRACE {
IDENFR ret
ASSIGN =
INTCON 0
SEMICN ;
IDENFR i
ASSIGN =
INTCON 1
SEMICN ;
WHILETK while
LPARENT (
IDENFR i
LSS <
IDENFR max
RPARENT )
LBRACE {
IFTK if
LPARENT (
LPARENT (
LPARENT (
IDENFR x
DIV /
IDENFR i
RPARENT )
MINU -
LPARENT (
IDENFR x
DIV /
IDENFR i
RPARENT )
DIV /
INTCON 2
MULT *
INTCON 2
RPARENT )
EQL ==
LPARENT (
LPARENT (
IDENFR y
DIV /
IDENFR i
RPARENT )
MINU -
LPARENT (
IDENFR y
DIV /
IDENFR i
RPARENT )
DIV /
INTCON 2
MULT *
INTCON 2
RPARENT )
RPARENT )
IDENFR ret
ASSIGN =
IDENFR ret
MULT *
